ID,Site,Sector,Vendor,Technology,Band,LAC,CI,Long,Lat,Height,Tilt,Azimuth,BCCH,BSIC,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH8,TCH9,TCH10,TCH11,TCH12,PSC,PCI
15,DHK_X0010,DHK_X0010_3,Huawei,2G,900,101,15,90.370776,23.743596,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DHK_X0013,DHK_X0013_1,Huawei,2G,900,101,16,90.392392,23.743421,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DHK_X0013,DHK_X0013_2,Huawei,2G,900,101,17,90.392392,23.743421,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DHK_X0013,DHK_X0013_3,Huawei,2G,900,101,18,90.392392,23.743421,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DHK_X0014,DHK_X0014_1,Huawei,2G,900,101,19,90.429321,23.800189,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DHK_X0014,DHK_X0014_2,Huawei,2G,900,101,20,90.429321,23.800189,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,DHK_X0014,DHK_X0014_3,Huawei,2G,900,101,21,90.429321,23.800189,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,DHK_X0021,DHK_X0021_1,Huawei,2G,900,101,22,90.432394,23.692404,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,DHK_X0021,DHK_X0021_2,Huawei,2G,900,101,23,90.432394,23.692404,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,DHK_X0021,DHK_X0021_3,Huawei,2G,900,101,24,90.432394,23.692404,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,DHK_X0028,DHK_X0028_1,Huawei,2G,900,101,25,90.37064,23.80077,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,DHK_X0028,DHK_X0028_2,Huawei,2G,900,101,26,90.37064,23.80077,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,DHK_X0028,DHK_X0028_3,Huawei,2G,900,101,27,90.37064,23.80077,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,DHK_X0029,DHK_X0029_1,Huawei,2G,900,101,28,90.380532,23.749834,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,DHK_X0029,DHK_X0029_2,Huawei,2G,900,101,29,90.380532,23.749834,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,DHK_X0029,DHK_X0029_3,Huawei,2G,900,101,30,90.380532,23.749834,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,DHK_X0030,DHK_X0030_1,Huawei,2G,900,101,31,90.38522,23.733248,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,DHK_X0030,DHK_X0030_2,Huawei,2G,900,101,32,90.38522,23.733248,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DHK_X0030,DHK_X0030_3,Huawei,2G,900,101,33,90.38522,23.733248,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,DHK_X0033,DHK_X0033_1,Huawei,2G,900,101,34,90.4179,23.7271,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,DHK_X0033,DHK_X0033_2,Huawei,2G,900,101,35,90.4179,23.7271,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,DHK_X0033,DHK_X0033_3,Huawei,2G,900,101,36,90.4179,23.7271,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,DHK_X0034,DHK_X0034_1,Huawei,2G,900,101,37,90.439447,23.743525,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,DHK_X0034,DHK_X0034_2,Huawei,2G,900,101,38,90.439447,23.743525,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,DHK_X0034,DHK_X0034_3,Huawei,2G,900,101,39,90.439447,23.743525,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,DHK_X0039,DHK_X0039_1,Huawei,2G,900,101,40,90.40952,23.74168,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,DHK_X0039,DHK_X0039_2,Huawei,2G,900,101,41,90.40952,23.74168,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,DHK_X0039,DHK_X0039_3,Huawei,2G,900,101,42,90.40952,23.74168,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,DHK_X0040,DHK_X0040_1,Huawei,2G,900,101,43,90.4197,23.8037,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,DHK_X0040,DHK_X0040_2,Huawei,2G,900,101,44,90.4197,23.8037,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DHK_X0040,DHK_X0040_3,Huawei,2G,900,101,45,90.4197,23.8037,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,DHK_X0041,DHK_X0041_1,Huawei,2G,900,101,46,90.428664,23.734058,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,DHK_X0041,DHK_X0041_2,Huawei,2G,900,101,47,90.428664,23.734058,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,DHK_X0041,DHK_X0041_3,Huawei,2G,900,101,48,90.428664,23.734058,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,DHK_X0050,DHK_X0050_1,Huawei,2G,900,101,49,90.415471,23.852362,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,DHK_X0050,DHK_X0050_2,Huawei,2G,900,101,50,90.415471,23.852362,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,DHK_X0050,DHK_X0050_3,Huawei,2G,900,101,51,90.415471,23.852362,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,DHK_X0051,DHK_X0051_1,Huawei,2G,900,101,52,90.384417,23.87203,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,DHK_X0051,DHK_X0051_2,Huawei,2G,900,101,53,90.384417,23.87203,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,DHK_X0051,DHK_X0051_3,Huawei,2G,900,101,54,90.384417,23.87203,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,DHK_X0052,DHK_X0052_1,Huawei,2G,900,101,55,90.390332,23.796252,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,DHK_X0052,DHK_X0052_2,Huawei,2G,900,101,56,90.390332,23.796252,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,DHK_X0052,DHK_X0052_3,Huawei,2G,900,101,57,90.390332,23.796252,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,DHK_X0054,DHK_X0054_1,Huawei,2G,900,101,58,90.423615,23.696847,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,DHK_X0054,DHK_X0054_2,Huawei,2G,900,101,59,90.423615,23.696847,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,DHK_X0054,DHK_X0054_3,Huawei,2G,900,101,60,90.423615,23.696847,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,DHK_X0056,DHK_X0056_1,Huawei,2G,900,101,61,90.39168,23.813409,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,DHK_X0056,DHK_X0056_2,Huawei,2G,900,101,62,90.39168,23.813409,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,DHK_X0056,DHK_X0056_3,Huawei,2G,900,101,63,90.39168,23.813409,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,DHK_X0057,DHK_X0057_1,Huawei,2G,900,101,64,90.432903,23.780948,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,DHK_X0057,DHK_X0057_2,Huawei,2G,900,101,65,90.432903,23.780948,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,DHK_X0057,DHK_X0057_3,Huawei,2G,900,101,66,90.432903,23.780948,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,DHK_X0060,DHK_X0060_1,Huawei,2G,900,101,67,90.378747,23.739137,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,DHK_X0060,DHK_X0060_2,Huawei,2G,900,101,68,90.378747,23.739137,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,DHK_X0060,DHK_X0060_3,Huawei,2G,900,101,69,90.378747,23.739137,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,DHK_X0064,DHK_X0064_1,Huawei,2G,900,101,70,90.401885,23.75835,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,DHK_X0064,DHK_X0064_2,Huawei,2G,900,101,71,90.401885,23.75835,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,DHK_X0064,DHK_X0064_3,Huawei,2G,900,101,72,90.401885,23.75835,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,DHK_X0071,DHK_X0071_1,Huawei,2G,900,101,73,90.4044,23.779613,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,DHK_X0071,DHK_X0071_2,Huawei,2G,900,101,74,90.4044,23.779613,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,DHK_X0071,DHK_X0071_3,Huawei,2G,900,101,75,90.4044,23.779613,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,DHK_X0072,DHK_X0072_1,Huawei,2G,900,101,76,90.414145,23.764999,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,DHK_X0072,DHK_X0072_2,Huawei,2G,900,101,77,90.414145,23.764999,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,DHK_X0072,DHK_X0072_3,Huawei,2G,900,101,78,90.414145,23.764999,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,DHK_X0076,DHK_X0076_1,Huawei,2G,900,101,79,90.425474,23.791479,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,DHK_X0076,DHK_X0076_2,Huawei,2G,900,101,80,90.425474,23.791479,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,DHK_X0076,DHK_X0076_3,Huawei,2G,900,101,81,90.425474,23.791479,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,DHK_X0078,DHK_X0078_1,Huawei,2G,900,101,82,90.4172,23.7881,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,DHK_X0078,DHK_X0078_2,Huawei,2G,900,101,83,90.4172,23.7881,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,DHK_X0078,DHK_X0078_3,Huawei,2G,900,101,84,90.4172,23.7881,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,DHK_X0082,DHK_X0082_1,Huawei,2G,900,101,85,90.439081,23.758275,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,DHK_X0082,DHK_X0082_2,Huawei,2G,900,101,86,90.439081,23.758275,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,DHK_X0082,DHK_X0082_3,Huawei,2G,900,101,87,90.439081,23.758275,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,DHK_X0083,DHK_X0083_1,Huawei,2G,900,101,88,90.376646,23.809571,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,DHK_X0083,DHK_X0083_2,Huawei,2G,900,101,89,90.376646,23.809571,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,DHK_X0083,DHK_X0083_3,Huawei,2G,900,101,90,90.376646,23.809571,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,DHK_X0084,DHK_X0084_1,Huawei,2G,900,101,91,90.368207,23.784612,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,DHK_X0084,DHK_X0084_2,Huawei,2G,900,101,92,90.368207,23.784612,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,DHK_X0084,DHK_X0084_3,Huawei,2G,900,101,93,90.368207,23.784612,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,DHK_X0088,DHK_X0088_1,Huawei,2G,900,101,94,90.407223,23.737104,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,DHK_X0088,DHK_X0088_2,Huawei,2G,900,101,95,90.407223,23.737104,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,DHK_X0088,DHK_X0088_3,Huawei,2G,900,101,96,90.407223,23.737104,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,DHK_X0090,DHK_X0090_1,Huawei,2G,900,101,97,90.361353,23.74151,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,DHK_X0090,DHK_X0090_2,Huawei,2G,900,101,98,90.361353,23.74151,27,4,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,DHK_X0090,DHK_X0090_3,Huawei,2G,900,101,99,90.361353,23.74151,27,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
